country,factor,proxy,lag,nobs,beta,t,p,r2
US,F1,sq,0,480,1.2235537749858754,4.986162455164814,6.159036266088984e-07,0.09372163232432051
US,F1,sq,1,480,1.0443014273624325,5.5456931506890035,2.9279191506440455e-08,0.0682727748969294
US,F1,garch,0,480,2.6000694965781874,3.1163524875686854,0.001831032625284168,0.1000753650163253
US,F1,garch,1,480,2.312641522340999,2.629168100259887,0.008559403868023506,0.07926123452496658
US,F1,vix,0,168,0.024787014240733315,1.747229888325412,0.08059746919337184,0.050088309216969384
US,F1,vix,1,167,0.031472257739378645,2.2218695755809654,0.026292121046698046,0.08061666040377424
US,F2,sq,0,480,-0.11960889001168062,-0.35962113681241503,0.7191304748070091,0.0008942689155508887
US,F2,sq,1,480,-0.15694732762151983,-0.44130826178334753,0.6589898458019705,0.0015397533428531673
US,F2,garch,0,480,0.06441091838565366,0.06776357954379943,0.9459738364056883,6.132304995720705e-05
US,F2,garch,1,480,0.17839930661526582,0.1860782439851321,0.8523834027292716,0.0004709534819603567
US,F2,vix,0,168,-0.011286203472308787,-1.058649219925009,0.2897595621903687,0.016141035181439833
US,F2,vix,1,167,-0.000437147634035882,-0.03827211132193126,0.9694707264306119,2.5462596774605828e-05
US,F3,sq,0,480,-0.05367288761295355,-0.27236872165102943,0.7853385203707017,0.0002538462123770069
US,F3,sq,1,480,-0.11978595684400722,-0.9197932090751615,0.357680832779783,0.0012643714142365203
US,F3,garch,0,480,-0.2829529355890944,-1.0004755618241328,0.31708041850850277,0.0016682176912533597
US,F3,garch,1,480,-0.24760625499784855,-0.8670719632147051,0.3859025812295038,0.0012788937408557688
US,F3,vix,0,168,-0.0011240066545239059,-0.154247787363744,0.8774143641520177,5.291295808795837e-05
US,F3,vix,1,167,-0.008920400993086094,-0.9051723783834593,0.36537407264488053,0.0034584287244247003
US,F4,sq,0,480,0.09418175504202403,0.31360804623032096,0.7538187476337832,0.0005664650793133497
US,F4,sq,1,480,-0.47163588204101825,-1.851453957369684,0.06410427273956698,0.014205461641463302
US,F4,garch,0,480,-1.9057056619630752,-2.7034300298469867,0.006862789520012746,0.05484218904336269
US,F4,garch,1,480,-1.8896527812957726,-2.7692500353182576,0.005618549873437118,0.05398263495962474
US,F4,vix,0,168,0.032337070899095016,3.4446421902802693,0.0005718157907648338,0.06897938382771562
US,F4,vix,1,167,0.03128629929156479,3.077344749808322,0.002088535995283112,0.06473698884784673
US,F5,sq,0,480,0.5976641647553792,1.741886762812382,0.08152826066157841,0.023985322048234115
US,F5,sq,1,480,0.1563646359234419,0.7097639518837113,0.47785052673771455,0.0016417623297021455
US,F5,garch,0,480,0.9161191883098073,1.9118043458098652,0.055901294168813655,0.01332596378045614
US,F5,garch,1,480,0.9550141318683649,1.8435967052650515,0.06524193655004128,0.01449776947106396
US,F5,vix,0,168,-0.030975559508598982,-1.8990273999148966,0.057560873510345285,0.06354706033036117
US,F5,vix,1,167,-0.03724258449843018,-2.75267378868943,0.00591107634203848,0.09214194617780325
DE,F1,sq,0,211,1.5252336126602954,0.6591559522431042,0.5097956289225806,0.004255449383668952
DE,F1,sq,1,211,3.041699988771226,1.055045424298101,0.2914045503893897,0.01642306092846546
DE,F1,garch,0,211,18.661799612425078,1.4726675800931013,0.14084069247740869,0.06709544549150293
DE,F1,garch,1,211,19.620495403018015,1.643024738147696,0.10037781502236844,0.0668098307161501
DE,F1,vdax,0,211,0.06808269595528979,3.402905640179673,0.0006667330253717383,0.2721074050608404
DE,F1,vdax,1,211,0.07257494399931586,3.417524700359977,0.0006319335958443625,0.30851879068536225
DE,F1,vstoxx,0,116,0.06615489839085523,1.8173849226784362,0.06915819474046678,0.1712153316003966
DE,F1,vstoxx,1,115,0.07273381978883417,1.737080943529057,0.08237288450489381,0.2060088906159151
DE,F2,sq,0,211,2.9272688744113564,3.431166431059928,0.0006009917548069453,0.015618506331009141
DE,F2,sq,1,211,1.8888665429407108,1.4096876622322192,0.15863192937788884,0.006310524745102408
DE,F2,garch,0,211,-0.597776267415008,-0.07781485773691943,0.9379753275217839,6.85969662700403e-05
DE,F2,garch,1,211,-4.965305225550606,-0.5575604396931222,0.577144576743505,0.004263378676474416
DE,F2,vdax,0,211,-0.007619832997814494,-0.5221256848029056,0.6015828242620291,0.0033962476551276932
DE,F2,vdax,1,211,-0.019569221422496116,-1.3064060068392227,0.19141452419532778,0.02235099544988417
DE,F2,vstoxx,0,116,0.004797040865181335,0.20531670874979732,0.8373246904387882,0.0008215834317968351
DE,F2,vstoxx,1,115,-0.012757233061338647,-0.4975521500636708,0.6187997371172759,0.005760405434575122
DE,F3,sq,0,211,-3.4503318354178254,-2.6313990108775993,0.008503413525933872,0.021441505678654993
DE,F3,sq,1,211,-2.4153285770119455,-1.48290944998429,0.1380984703600215,0.010196113140715335
DE,F3,garch,0,211,-6.811687982517622,-1.9474035162187298,0.0514863768476954,0.008801492936691524
DE,F3,garch,1,211,-4.312134580016639,-0.9034784237614868,0.3662720344170338,0.003177356178417301
DE,F3,vdax,0,211,-0.012323168591926278,-1.4885662634308767,0.13660162094956332,0.008777533711000762
DE,F3,vdax,1,211,0.0024623339789867802,0.31443813015175404,0.7531882999492715,0.00034967370296368205
DE,F3,vstoxx,0,116,-0.011071002461691074,-0.7514142489194136,0.45240339003047014,0.004614228840635448
DE,F3,vstoxx,1,115,0.00337486224961908,0.28309853216360154,0.7771013067534478,0.0004330964439308582
DE,F4,sq,0,211,3.5344195737979183,1.6592290865291452,0.09706963856676395,0.02258716927196236
DE,F4,sq,1,211,3.7272611107759563,2.217980572708439,0.02655615706534825,0.024375520208892554
DE,F4,garch,0,211,28.959777280514587,3.202563888140701,0.0013621008312840186,0.15970898056445282
DE,F4,garch,1,211,32.61539717694347,3.5660386650968117,0.00036241792467663926,0.18248143268301453
DE,F4,vdax,0,211,0.005838612986539151,0.2705573539544577,0.7867314993767767,0.001978058603818167
DE,F4,vdax,1,211,4.8610716218089756e-05,0.002245738224966624,0.9982081616488362,1.3681230071060924e-07
DE,F4,vstoxx,0,116,-0.015722369523220064,-1.0865440685578729,0.27723835503516125,0.017847858995104993
DE,F4,vstoxx,1,115,-0.022634686893984762,-1.4897903285099692,0.13627937490876307,0.03684951268372283
DE,F5,sq,0,211,-0.5744094031813249,-0.32686168304788177,0.7437725031030835,0.0005939968584206534
DE,F5,sq,1,211,3.2264187661895676,2.076875100384577,0.037813088435041144,0.018185749069121515
DE,F5,garch,0,211,0.23289826377522904,0.057246654021878986,0.9543487145344287,1.0284587363962316e-05
DE,F5,garch,1,211,-6.716714436156841,-1.8166918966641816,0.06926430321753516,0.007705531056592996
DE,F5,vdax,0,211,0.02024668564381609,2.2659585103985416,0.02345392364417561,0.023683349478447635
DE,F5,vdax,1,211,-0.0003321381694570292,-0.04784409355546245,0.9618404951969957,6.359370817499155e-06
DE,F5,vstoxx,0,116,0.023969161674416713,2.1708098942058234,0.029945545719571174,0.02613732562091209
DE,F5,vstoxx,1,115,-0.007838908851347467,-1.1858091001329618,0.23569769693072862,0.002821467516459064
